player,team,year,salary,group
Nikolina Milic,MIN,2022,31882,hardship
Nneka Ogwumike,LAS,2022,196267,veteran
Odyssey Sims,TOT,2022,6428,veteran
Olivia Nelson-Ododa,LAS,2022,63389,rookie
Queen Egbo,IND,2022,66306,rookie
Rachel Banham,MIN,2022,72141,veteran
Rae Burrell,LAS,2022,66306,rookie
Raina Perez,SEA,2022,2245,hardship
Rebecca Allen,NYL,2022,141000,veteran
Rebekah Gardner,CHI,2022,60471,veteran
Rennia Davis,TOT,2022,18560,hardship
Reshanda Gray,TOT,2022,36428,veteran
Rhyne Howard,ATL,2022,72141,rookie
Riquna Williams,LVA,2022,145000,veteran
Rui Machida,WAS,2022,60471,veteran
Ruthy Hebard,CHI,2022,73211,rookie
Sabrina Ionescu,NYL,2022,76297,rookie
Sam Thomas,PHO,2022,60471,veteran
Sami Whitcomb,NYL,2022,150350,veteran
Satou Sabally,DAL,2022,76297,rookie
Shakira Austin,WAS,2022,72141,rookie
Shatori Walker-Kimbrough,WAS,2022,72141,veteran
Shey Peddy,PHO,2022,72141,controlled
Skylar Diggins,PHO,2022,227900,unknown
Sophie Cunningham,PHO,2022,75000,veteran
Sparkle Taylor,CHI,2022,3592,hardship
Stefanie Dolson,NYL,2022,160000,veteran
Stephanie Jones,TOT,2022,3143,hardship
Stephanie Talbot,SEA,2022,72141,veteran
Sue Bird,SEA,2022,72141,veteran
Sydney Colson,LVA,2022,72141,veteran
Sylvia Fowles,MIN,2022,200000,veteran
Teaira McCowan,DAL,2022,72141,unknown
Theresa Plaisance,LVA,2022,72141,veteran
Tianna Hawkins,WAS,2022,72141,veteran
Tiffany Hayes,ATL,2022,215000,veteran
Tiffany Mitchell,IND,2022,148400,unknown
Tina Charles,TOT,2022,56673,veteran
Tina Krajisnik,CHI,2022,8532,hardship
Tyasha Harris,DAL,2022,73211,unknown
Veronica Burton,DAL,2022,69224,rookie
Victoria Vivians,IND,2022,72141,controlled
Yvonne Anderson,CON,2022,23350,veteran
Yvonne Turner,TOT,2022,5357,hardship
A'ja Wilson,LVA,2023,202154,veteran
Aari McDonald,ATL,2023,78586,rookie
Abby Meyers,WAS,2023,6904,hardship
Aerial Powers,MIN,2023,201984,veteran
Alaina Coates,TOT,2023,10176,hardship
Alanna Smith,CHI,2023,100000,veteran
Aliyah Boston,IND,2023,74305,rookie
Allisha Gray,ATL,2023,194600,veteran
Alysha Clark,LVA,2023,110000,veteran
Alyssa Thomas,CON,2023,212000,veteran
Amanda Zahui B.,TOT,2023,74305,unknown
Arella Guirantes,SEA,2023,24372,veteran
Ariel Atkins,WAS,2023,175000,unknown
Arike Ogunbowale,DAL,2023,234936,unknown
Ashley Joens,TOT,2023,24413,unknown
Asia (AD) Durr,ATL,2023,74305,controlled
Awak Kuier,DAL,2023,78586,rookie
Azura Stevens,LAS,2023,190000,veteran
Bernadett Hatar,CON,2023,25456,veteran
Betnijah Laney-Hamilton,NYL,2023,201984,veteran
Breanna Stewart,NYL,2023,180000,veteran
Brianna Turner,PHO,2023,150000,unknown
Bridget Carleton,MIN,2023,91000,veteran
Brionna Jones,CON,2023,208000,veteran
Brittney Griner,PHO,2023,165100,veteran
Brittney Sykes,WAS,2023,190000,veteran
Candace Parker,LVA,2023,100000,veteran
Cayla George,LVA,2023,74305,veteran
Chelsea Gray,LVA,2023,196267,veteran
Cheyenne Parker-Tyus,ATL,2023,216100,veteran
Chiney Ogwumike,LAS,2023,90000,veteran
Courtney Vandersloot,NYL,2023,194000,veteran
Courtney Williams,CHI,2023,160000,veteran
Crystal Dangerfield,DAL,2023,80000,controlled
Cyesha Goree,WAS,2023,13811,hardship
Dana Evans,CHI,2023,69053,rookie
Danielle Robinson,ATL,2023,155000,veteran
DeWanna Bonner,CON,2023,234350,unknown
Dearica Hamby,LAS,2023,169000,unknown
Destanni Henderson,TOT,2023,12186,hardship
DiJonai Carrington,CON,2023,69053,rookie
Diamond Miller,MIN,2023,74305,unknown
Diana Taurasi,PHO,2023,234936,veteran
Dorka Juhasz,MIN,2023,65290,rookie
Dulcy Fankam Mendjiadeu,SEA,2023,65290,unknown
Elena Delle Donne,WAS,2023,234350,unknown
Elizabeth Williams,CHI,2023,135000,veteran
Emily Engstler,MIN,2023,17467,hardship
Emma Cannon,IND,2023,80000,veteran
Epiphanny Prince,NYL,2023,27622,hardship
Erica Wheeler,IND,2023,242154,veteran
Evina Westbrook,TOT,2023,20040,controlled
Ezi Magbegor,SEA,2023,159650,controlled
Gabby Williams,SEA,2023,100000,controlled
Grace Berger,IND,2023,71300,unknown
Haley Jones,ATL,2023,71300,unknown
Han Xu,NYL,2023,62285,controlled
Iliana Rupert,ATL,2023,67634,rookie
Ivana Dojkic,SEA,2023,46758,veteran
Jackie Young,LVA,2023,165000,unknown
Jade Melbourne,SEA,2023,62285,unknown
Jasmine Dickey,DAL,2023,23289,rookie
Jasmine Thomas,LAS,2023,190000,veteran
Jennie Simms,PHO,2023,16248,veteran
Jessica Shepard,MIN,2023,120000,unknown
Jewell Loyd,SEA,2023,234936,veteran
Jocelyn Willoughby,NYL,2023,79690,rookie
Jonquel Jones,NYL,2023,211150,veteran
Jordan Horston,SEA,2023,68295,rookie
Jordin Canada,LAS,2023,74305,veteran
Joyner Holmes,TOT,2023,60736,veteran
Kahleah Copper,CHI,2023,205000,veteran
Kaila Charles,SEA,2023,12999,veteran
Kalani Brown,DAL,2023,35861,hardship
Karlie Samuelson,LAS,2023,62675,veteran
Kayana Traylor,MIN,2023,10561,hardship
Kayla McBride,MIN,2023,201984,veteran
Kayla Thornton,NYL,2023,109716,unknown
Kelsey Mitchell,IND,2023,206000,unknown
Kelsey Plum,LVA,2023,200000,unknown
Khaalia Hillsman,CHI,2023,3656,hardship
Kia Nurse,SEA,2023,142500,veteran
Kiah Stokes,LVA,2023,81000,veteran
Kierstan Bell,LVA,2023,67634,rookie
Kristi Toliver,WAS,2023,75000,veteran
Kristine Anigwe,TOT,2023,31014,veteran
Kristy Wallace,IND,2023,64657,rookie
Laeticia Amihere,ATL,2023,71300,unknown
Lauren Cox,CON,2023,8666,veteran
Layshia Clarendon,LAS,2023,74305,veteran
Leigha Brown,CON,2023,65290,unknown
Lexie Brown,LAS,2023,78000,veteran
Lexie Hull,IND,2023,70609,rookie
Li Meng,WAS,2023,62285,rookie
Lindsay Allen,MIN,2023,74305,veteran
Linnae Harper,WAS,2023,17873,hardship
Liz Dixon,TOT,2023,23289,veteran
Lorela Cubaj,ATL,2023,9749,veteran
Maddy Siegrist,DAL,2023,74305,rookie
Madi Williams,PHO,2023,6634,hardship
Marina Mabrey,CHI,2023,202000,veteran
Marine Johannes,NYL,2023,62285,controlled
Maya Caldwell,IND,2023,68000,veteran
Megan Gustafson,PHO,2023,74305,veteran
Mercedes Russell,SEA,2023,160000,veteran
Michaela Onyenwere,PHO,2023,75407,rookie
Monique Billings,ATL,2023,145000,veteran
Morgan Bertsch,CHI,2023,62285,veteran
Moriah Jefferson,PHO,2023,137500,veteran
Myisha Hines-Allen,WAS,2023,175100,veteran
NaLyssa Smith,IND,2023,73584,rookie
Napheesa Collier,MIN,2023,202154,unknown
Natasha Cloud,WAS,2023,190000,hardship
Natasha Howard,DAL,2023,227900,veteran
Natisha Hiedeman,CON,2023,120000,veteran
Naz Hillmon,ATL,2023,64657,rookie
Nia Clouden,LAS,2023,67634,rookie
Nia Coffey,ATL,2023,135000,veteran
Nikolina Milic,MIN,2023,90000,veteran
Nneka Ogwumike,LAS,2023,199530,veteran
Nyara Sabally,NYL,2023,71300,rookie
Odyssey Sims,DAL,2023,48460,veteran
Olivia Nelson-Ododa,CON,2023,64657,rookie
Queen Egbo,TOT,2023,67634,rookie
Rachel Banham,MIN,2023,74305,veteran
Rae Burrell,LAS,2023,34934,hardship
Rebecca Allen,CON,2023,136850,veteran
Rebekah Gardner,CHI,2023,100000,controlled
Rhyne Howard,ATL,2023,73584,rookie
Robyn Parks,CHI,2023,62285,veteran
Ruthy Hebard,CHI,2023,83194,rookie
Sabrina Ionescu,NYL,2023,86701,rookie
Sam Thomas,PHO,2023,1625,hardship
Sami Whitcomb,SEA,2023,142500,veteran
Satou Sabally,DAL,2023,86701,rookie
Shakira Austin,WAS,2023,73584,rookie
Shatori Walker-Kimbrough,WAS,2023,95000,veteran
Shey Peddy,PHO,2023,74305,unknown
Sika Kone,CHI,2023,62285,rookie
Sophie Cunningham,PHO,2023,150000,veteran
Stefanie Dolson,NYL,2023,160000,veteran
Sug Sutton,PHO,2023,62285,veteran
Sydney Colson,LVA,2023,74305,veteran
Taylor Mikesell,ATL,2023,16790,veteran
Taylor Soule,CHI,2023,38183,hardship
Teaira McCowan,DAL,2023,190000,veteran
Tianna Hawkins,WAS,2023,74305,veteran
Tiffany Hayes,CON,2023,162477,hardship
Tiffany Mitchell,MIN,2023,135000,veteran
Tyasha Harris,CON,2023,83194,rookie
Veronica Burton,DAL,2023,70609,rookie
Victaria Saxton,IND,2023,62285,rookie
Victoria Vivians,IND,2023,135000,veteran
Yvonne Turner,SEA,2023,74305,veteran
Zia Cooke,LAS,2023,68295,rookie
A'ja Wilson,LVA,2024,227303,veteran
Aaliyah Edwards,WAS,2024,73439,rookie
Aari McDonald,LAS,2024,89302,rookie
Aerial Powers,ATL,2024,155000,veteran
Alanna Smith,MIN,2024,150000,veteran
Alissa Pili,MIN,2024,73439,unknown
Aliyah Boston,IND,2024,75792,rookie
Allisha Gray,ATL,2024,185000,veteran
Alysha Clark,LVA,2024,110000,veteran
Alyssa Thomas,CON,2024,218000,veteran
Amy Atwell,PHO,2024,8892,veteran
Angel Reese,CHI,2024,73439,rookie
Ariel Atkins,WAS,2024,200000,unknown
Arike Ogunbowale,DAL,2024,241984,unknown
Astou Ndour-Fall,CON,2024,125000,veteran
Azura Stevens,LAS,2024,215000,veteran
Betnijah Laney-Hamilton,NYL,2024,180000,veteran
Breanna Stewart,NYL,2024,205000,veteran
Brianna Turner,CHI,2024,150000,unknown
Bridget Carleton,MIN,2024,125000,veteran
Brionna Jones,CON,2024,212000,veteran
Brittney Griner,PHO,2024,150000,veteran
Brittney Sykes,WAS,2024,200000,veteran
Caitlin Bickle,CON,2024,13339,veteran
Caitlin Clark,IND,2024,76535,unknown
Cameron Brink,LAS,2024,76535,rookie
Cecilia Zandalasini,MIN,2024,64154,hardship
Celeste Taylor,TOT,2024,29962,unknown
Charisma Osborne,PHO,2024,45098,veteran
Chelsea Gray,LVA,2024,196267,veteran
Chennedy Carter,CHI,2024,76535,veteran
Cheyenne Parker-Tyus,ATL,2024,200000,veteran
Courtney Vandersloot,NYL,2024,194670,veteran
Courtney Williams,MIN,2024,175000,veteran
Crystal Dangerfield,TOT,2024,36436,controlled
Damiris Dantas,IND,2024,97100,veteran
Dana Evans,CHI,2024,78469,rookie
DeWanna Bonner,CON,2024,209593,veteran
Dearica Hamby,LAS,2024,189000,unknown
Destanni Henderson,ATL,2024,8892,hardship
DiDi Richards,WAS,2024,64154,veteran
DiJonai Carrington,CON,2024,78469,rookie
Diamond DeShields,CHI,2024,100000,veteran
Diamond Miller,MIN,2024,75792,unknown
Diana Taurasi,PHO,2024,234936,veteran
Dorka Juhasz,MIN,2024,66597,rookie
Dulcy Fankam Mendjiadeu,SEA,2024,13188,unknown
Dyaisha Fair,LVA,2024,9987,rookie
Elizabeth Williams,CHI,2024,165000,veteran
Emily Engstler,WAS,2024,64154,veteran
Emma Cannon,LVA,2024,27280,veteran
Erica Wheeler,IND,2024,202154,veteran
Ezi Magbegor,SEA,2024,155000,controlled
Ezinne Kalu,ATL,2024,1270,hardship
Gabby Williams,SEA,2024,23491,veteran
Grace Berger,IND,2024,72727,unknown
Haley Jones,ATL,2024,72727,unknown
Isabelle Harrison,CHI,2024,160000,veteran
Ivana Dojkic,NYL,2024,64154,veteran
Jackie Young,LVA,2024,169950,unknown
Jacy Sheldon,DAL,2024,73439,rookie
Jade Melbourne,WAS,2024,64154,unknown
Jaelyn Brown,DAL,2024,64154,rookie
Jakia Brown-Turner,WAS,2024,8892,hardship
Jaylyn Sherrod,NYL,2024,17150,veteran
Jessika Carter,LVA,2024,10798,veteran
Jewell Loyd,SEA,2024,241984,veteran
Jonquel Jones,NYL,2024,190000,veteran
Jordan Horston,SEA,2024,69663,rookie
Jordin Canada,ATL,2024,185000,veteran
Joyner Holmes,SEA,2024,61380,veteran
Julie Vanloo,WAS,2024,64154,rookie
Kaela Davis,CHI,2024,5304,hardship
Kahleah Copper,PHO,2024,241984,veteran
Kalani Brown,DAL,2024,125000,veteran
Kamilla Cardoso,CHI,2024,76535,rookie
Karlie Samuelson,WAS,2024,125000,veteran
Kate Martin,LVA,2024,67249,rookie
Katie Lou Samuelson,IND,2024,175000,veteran
Kayla McBride,MIN,2024,208000,veteran
Kayla Thornton,NYL,2024,110000,unknown
Kelsey Mitchell,IND,2024,212000,unknown
Kelsey Plum,LVA,2024,200000,unknown
Kennedy Burke,NYL,2024,76535,veteran
Kia Nurse,LAS,2024,142500,veteran
Kiah Stokes,LVA,2024,100000,veteran
Kiana Williams,SEA,2024,32395,veteran
Kierstan Bell,LVA,2024,74398,rookie
Kristy Wallace,IND,2024,71124,rookie
Kysre Gondrezick,CHI,2024,30489,veteran
Laeticia Amihere,ATL,2024,72727,unknown
Layshia Clarendon,LAS,2024,100000,veteran
Leonie Fiebich,NYL,2024,67249,unknown
Lexie Brown,LAS,2024,80340,veteran
Lexie Hull,IND,2024,77669,rookie
Li Yueru,LAS,2024,64767,unknown
Lindsay Allen,CHI,2024,90000,veteran
Liz Dixon,PHO,2024,32395,veteran
Lorela Cubaj,ATL,2024,64154,veteran
Lou Lopez Senechal,DAL,2024,72727,rookie
Maddy Siegrist,DAL,2024,75792,rookie
Marina Mabrey,TOT,2024,217592,veteran
Marquesha Davis,NYL,2024,70344,rookie
Maya Caldwell,ATL,2024,36841,veteran
Megan Gustafson,LVA,2024,94000,veteran
Mercedes Russell,SEA,2024,160000,veteran
Michaela Onyenwere,CHI,2024,85690,rookie
Mikiah Herbert Harrigan,PHO,2024,64154,veteran
Monique Billings,TOT,2024,35237,hardship
Morgan Bertsch,TOT,2024,19056,controlled
Moriah Jefferson,TOT,2024,141500,veteran
Myisha Hines-Allen,TOT,2024,180200,veteran
NaLyssa Smith,IND,2024,80943,rookie
Napheesa Collier,MIN,2024,215469,unknown
Natasha Cloud,PHO,2024,200000,veteran
Natasha Howard,DAL,2024,234350,veteran
Natasha Mack,PHO,2024,64154,veteran
Natisha Hiedeman,MIN,2024,120000,veteran
Naz Hillmon,ATL,2024,71124,rookie
Nia Coffey,ATL,2024,150000,veteran
Nika Muhl,SEA,2024,67249,rookie
Nneka Ogwumike,SEA,2024,204500,veteran
Nyara Sabally,NYL,2024,72727,rookie
Odyssey Sims,TOT,2024,15912,hardship
Olivia Epoupa,MIN,2024,64154,rookie
Olivia Nelson-Ododa,CON,2024,71124,rookie
Queen Egbo,TOT,2024,18415,unknown
Rachel Banham,TOT,2024,95000,veteran
Rae Burrell,LAS,2024,125000,veteran
Rebecca Allen,PHO,2024,160000,veteran
