Player,2022 Salary,2022 Signing,G,GS,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Tina Charles,34285,UFA,34,26,28.9,14.8,5.8,12.7,45.7%,4.7,9.5,49.2%,1.1,3.2,35.5%,2.0,2.4,82.7%,1.5,5.8,7.3,2.0,2.1,0.7,0.7,2.8
Ariel Atkins,170000,,36,36,30.0,14.6,5.1,12.2,42.0%,3.2,6.9,46.4%,1.9,5.3,36.5%,2.4,2.9,84.5%,0.9,2.3,3.3,2.3,1.4,1.3,0.3,2.8
Jonquel Jones,205000,Core,33,32,26.4,14.6,5.3,10.4,51.3%,4.1,7.0,58.2%,1.2,3.4,36.9%,2.7,3.4,80.2%,2.6,6.0,8.6,1.8,2.6,1.1,1.2,2.7
Aerial Powers,196267,UFA,35,31,27.0,14.4,4.9,12.6,38.5%,3.9,9.5,41.0%,0.9,3.1,30.8%,3.8,4.6,81.5%,1.3,3.4,4.7,2.9,2.6,1.2,0.3,1.8
Sylvia Fowles,200000,UFA,30,30,27.7,14.4,6.1,9.9,62.2%,6.1,9.9,62.2%,0.0,0.0,--,2.1,3.2,66.0%,2.5,7.3,9.8,1.2,2.1,1.0,1.2,2.4
Brionna Jones,120000,RFA,36,7,25.1,13.8,5.2,9.1,56.9%,5.2,8.9,57.9%,0.0,0.2,0.0%,3.4,4.1,84.4%,2.6,2.5,5.1,1.2,1.5,1.2,0.4,2.6
Chelsea Gray,206267,UFA,35,35,29.7,13.7,5.2,10.7,49.1%,4.3,7.8,54.6%,1.0,2.9,34.0%,2.3,2.5,91.0%,0.3,2.9,3.2,6.1,2.3,1.6,0.3,1.5
Marina Mabrey,72141,,34,32,28.0,13.6,5.2,12.5,42.0%,3.4,7.4,46.8%,1.8,5.1,35.1%,1.4,2.0,68.1%,0.6,3.1,3.6,3.7,2.4,0.8,0.4,2.5
NaLyssa Smith,72141,Rookie,32,32,30.7,13.5,5.0,11.9,41.9%,3.8,8.9,43.2%,1.2,3.0,38.1%,2.4,3.8,61.8%,2.2,5.7,7.9,1.4,2.4,0.5,0.3,2.9
DeWanna Bonner,227900,,33,33,30.0,13.5,4.7,10.8,43.9%,3.3,6.5,51.2%,1.4,4.2,32.9%,2.6,3.2,82.7%,0.8,4.0,4.7,2.8,1.6,1.2,0.3,1.8
Alyssa Thomas,206000,UFA,36,36,32.1,13.4,5.2,10.4,50.0%,5.2,10.4,50.3%,0.0,0.1,0.0%,3.0,4.1,73.0%,2.1,6.1,8.2,6.1,2.9,1.7,0.2,2.8
Allisha Gray,164800,RFA,33,33,32.9,13.3,4.4,10.5,42.3%,2.5,5.7,43.6%,1.9,4.8,40.8%,2.5,3.2,79.8%,0.9,3.9,4.8,2.5,1.3,1.1,0.7,2.4
Kayla McBride,196267,UFA,31,31,29.8,13.3,4.4,10.9,40.5%,2.9,6.6,43.7%,1.5,4.3,35.6%,2.9,3.2,90.9%,0.5,2.3,2.8,2.1,1.5,1.0,0.1,1.4
Candace Parker,195000,UFA,32,32,28.2,13.2,5.0,10.8,45.8%,3.7,6.6,55.2%,1.3,4.2,31.1%,1.9,2.4,81.6%,0.9,7.7,8.6,4.5,2.4,1.0,1.0,2.2
Diamond DeShields,150000,RFA,30,19,25.3,13.1,4.7,12.2,38.8%,4.0,9.2,43.7%,0.7,3.0,23.6%,2.9,3.8,76.5%,0.6,3.2,3.8,2.2,2.3,1.0,0.5,3.3
Liz Cambage,141386,UFA,25,24,23.4,13.0,4.7,9.2,50.9%,4.5,8.6,52.3%,0.2,0.6,28.6%,3.5,4.4,78.4%,1.3,5.1,6.4,2.1,2.3,0.7,1.6,3.2
Brittney Sykes,113300,RFA,32,24,28.8,12.7,4.8,11.0,43.3%,4.3,9.3,46.2%,0.4,1.6,26.9%,2.7,3.5,77.0%,0.7,2.9,3.7,3.7,2.6,2.0,0.7,2.6
Sophie Cunningham,75000,UFA,28,20,29.5,12.6,4.3,9.5,44.9%,1.8,3.3,54.3%,2.5,6.3,40.0%,1.5,1.7,87.5%,0.7,3.7,4.4,1.6,1.0,1.0,0.4,3.4
Emma Meesseman,185000,UFA,36,36,28.6,12.4,5.4,9.4,57.1%,5.0,8.4,59.9%,0.4,1.1,34.2%,1.3,1.5,88.7%,1.7,3.8,5.5,3.8,1.4,1.4,0.8,2.5
Cheyenne Parker-Tyus,190550,UFA,36,35,26.2,11.8,4.9,9.8,50.0%,4.6,8.3,55.2%,0.3,1.5,21.8%,1.7,2.2,79.5%,1.6,4.5,6.2,2.0,2.0,1.0,0.9,2.7
Courtney Vandersloot,195000,UFA,32,32,26.5,11.8,4.3,8.8,48.1%,3.3,6.4,52.5%,0.9,2.5,36.7%,2.3,3.1,76.5%,0.7,3.2,3.9,6.5,2.7,1.2,0.5,1.7
Allie Quigley,135000,UFA,34,34,26.3,11.4,3.8,8.9,42.8%,2.4,4.8,49.1%,1.5,4.1,35.5%,2.2,2.4,95.0%,0.5,2.0,2.5,2.9,1.3,0.7,0.2,1.5
Satou Sabally,76297,Rookie,11,6,21.7,11.3,3.7,9.4,39.8%,2.8,5.5,51.7%,0.9,3.9,23.3%,2.9,3.2,91.4%,0.8,4.0,4.8,2.1,2.3,0.5,0.2,3.2
Betnijah Laney-Hamilton,196267,UFA,9,6,28.3,11.2,4.2,10.0,42.2%,3.0,6.8,44.3%,1.2,3.2,37.9%,1.6,1.8,87.5%,0.1,3.2,3.3,2.8,2.7,0.4,0.1,2.7
Courtney Williams,103000,UFA,34,34,28.0,11.1,4.9,11.4,42.6%,4.2,9.5,44.4%,0.6,1.9,33.8%,0.8,1.1,75.0%,0.9,3.7,4.6,3.3,1.7,1.0,0.4,1.6
Aari McDonald,71441,Rookie,36,6,24.3,11.1,3.6,8.9,41.1%,2.3,4.9,46.9%,1.3,3.9,33.8%,2.4,2.8,87.1%,0.4,1.8,2.3,2.6,2.2,1.5,0.0,2.2
Teaira McCowan,72141,,33,15,18.9,11.0,4.2,7.0,60.2%,4.2,7.0,60.2%,0.0,0.0,--,2.5,4.2,60.0%,3.0,4.1,7.0,0.8,1.7,0.3,0.7,3.1
Maya Caldwell,4490,Hardship,9,7,23.7,10.9,4.2,8.2,51.4%,2.2,4.7,47.6%,2.0,3.6,56.3%,0.4,0.6,80.0%,0.6,1.9,2.4,2.2,1.6,0.8,0.2,1.7
Maya Caldwell,3143,Hardship,9,7,23.7,10.9,4.2,8.2,51.4%,2.2,4.7,47.6%,2.0,3.6,56.3%,0.4,0.6,80.0%,0.6,1.9,2.4,2.2,1.6,0.8,0.2,1.7
Maya Caldwell,1796,Hardship,9,7,23.7,10.9,4.2,8.2,51.4%,2.2,4.7,47.6%,2.0,3.6,56.3%,0.4,0.6,80.0%,0.6,1.9,2.4,2.2,1.6,0.8,0.2,1.7
Natasha Cloud,185000,SuspCE,34,34,31.3,10.7,3.6,9.1,39.9%,2.4,5.1,46.2%,1.3,4.0,31.9%,2.2,2.7,82.4%,0.5,3.1,3.6,7.0,2.8,1.0,0.3,1.6
Azura Stevens,140000,,35,8,21.9,10.6,4.3,9.1,47.2%,3.1,5.8,53.5%,1.2,3.3,36.2%,0.8,1.1,74.4%,0.6,3.3,3.9,0.8,0.7,0.5,1.1,1.7
Moriah Jefferson,170953,,31,30,26.1,10.4,3.8,8.4,45.2%,2.6,5.9,44.3%,1.2,2.5,47.4%,1.7,2.1,81.5%,0.4,2.1,2.4,4.7,2.2,1.2,0.1,2.2
Moriah Jefferson,67141,UFA,31,30,26.1,10.4,3.8,8.4,45.2%,2.6,5.9,44.3%,1.2,2.5,47.4%,1.7,2.1,81.5%,0.4,2.1,2.4,4.7,2.2,1.2,0.1,2.2
Marine Johannes,40713,ROS,24,10,25.5,10.0,3.5,7.5,46.4%,1.2,2.2,52.8%,2.3,5.3,43.7%,0.8,1.0,87.0%,0.2,1.5,1.7,3.4,1.8,0.6,0.1,1.6
Shey Peddy,72141,Reserved,34,24,28.7,9.9,3.4,8.2,41.8%,2.0,3.9,51.5%,1.4,4.3,32.9%,1.6,1.9,88.9%,1.3,2.4,3.8,3.4,1.4,1.6,0.2,1.8
Victoria Vivians,72141,Reserved,35,30,26.9,9.8,3.6,10.7,33.6%,2.3,6.2,37.6%,1.3,4.5,28.0%,1.3,1.8,74.2%,0.7,2.9,3.6,2.4,2.1,1.1,0.3,2.4
Katie Lou Samuelson,72141,,32,29,29.5,9.7,3.3,9.0,37.3%,1.6,4.0,39.8%,1.8,5.0,35.2%,1.3,1.5,83.7%,0.5,2.4,3.0,1.9,1.1,1.0,0.2,1.6
Ezi Magbegor,60471,,33,23,24.7,9.5,4.0,7.3,55.0%,3.7,6.5,57.7%,0.3,0.9,34.5%,1.2,1.6,73.6%,1.6,4.0,5.6,1.4,1.4,0.9,1.8,2.9
Dearica Hamby,152800,,34,32,26.5,9.3,3.4,7.3,46.6%,2.9,5.2,56.8%,0.5,2.1,21.9%,2.0,2.7,72.0%,1.4,5.6,7.1,1.1,1.5,1.1,0.1,2.0
Jordin Canada,98000,UFA,32,25,27.0,9.2,3.3,8.5,38.4%,3.0,6.9,43.9%,0.2,1.6,14.0%,2.5,3.1,80.6%,0.2,2.1,2.3,5.5,2.3,1.4,0.2,1.8
Natisha Hiedeman,72141,Reserved,36,31,25.0,9.1,3.3,7.6,43.1%,1.4,2.9,46.2%,1.9,4.7,41.1%,0.7,0.8,80.0%,0.2,1.6,1.8,3.3,1.3,1.2,0.1,1.8
Myisha Hines-Allen,170000,RFA,34,15,19.3,8.9,3.4,8.1,41.5%,2.5,5.8,43.4%,0.9,2.3,36.7%,1.3,1.9,70.3%,1.1,4.2,5.3,1.9,1.7,0.8,0.3,1.6
Chennedy Carter,76297,,24,2,16.4,8.9,3.5,7.9,45.0%,3.5,7.5,46.4%,0.1,0.4,20.0%,1.7,2.3,74.5%,0.4,1.5,1.9,1.9,1.8,0.6,0.4,2.2
Isabelle Harrison,159000,,35,18,18.4,8.7,3.3,7.1,46.6%,3.3,7.1,46.2%,0.1,0.1,100.0%,2.1,2.4,86.7%,1.4,2.9,4.3,1.3,1.3,0.7,0.1,2.1
Shakira Austin,72141,Rookie,36,32,21.6,8.7,3.4,6.2,54.7%,3.4,6.2,55.0%,0.0,0.0,0.0%,1.9,3.0,62.4%,1.8,4.7,6.4,0.9,1.5,0.8,0.8,2.3
Han Xu,60471,Rookie,32,0,16.8,8.5,3.4,6.9,49.3%,2.9,5.8,50.3%,0.5,1.1,44.4%,1.2,1.5,79.6%,1.2,2.4,3.6,0.9,0.7,0.5,0.7,1.0
Rebekah Gardner,60471,UFA,35,2,21.7,8.4,3.3,6.1,54.2%,2.9,4.9,58.7%,0.4,1.2,35.7%,1.4,1.7,80.0%,1.3,2.0,3.3,1.3,1.6,1.4,0.5,2.3
Erica Wheeler,185400,,30,30,26.3,8.4,3.3,9.2,35.5%,2.5,6.8,36.5%,0.8,2.4,32.9%,1.0,1.4,75.6%,0.6,2.5,3.1,3.9,2.5,1.1,0.1,2.5
Jessica Shepard,60471,,36,22,26.1,8.1,3.0,6.0,50.0%,2.8,5.3,53.1%,0.2,0.7,25.0%,1.9,2.6,73.4%,2.0,5.4,7.4,3.0,1.7,0.4,0.3,2.1
Stefanie Dolson,160000,UFA,36,36,23.0,8.1,3.1,6.4,49.3%,2.4,4.5,53.4%,0.7,1.8,39.4%,1.1,1.2,90.5%,1.2,3.6,4.8,1.8,1.6,0.4,0.8,3.1
Alysha Clark,183000,UFA,29,29,26.4,8.0,3.1,6.8,46.4%,2.1,3.3,62.9%,1.0,3.4,30.3%,0.7,0.8,91.3%,0.8,3.7,4.5,2.0,1.3,1.0,0.3,1.9
Kayla Thornton,107040,,36,35,29.2,8.0,2.7,5.8,46.9%,2.0,3.6,55.4%,0.7,2.1,32.5%,1.9,2.3,82.9%,1.8,4.1,5.9,1.8,1.2,1.1,0.6,2.7
Rachel Banham,72141,UFA,36,5,17.5,7.9,2.8,6.5,43.0%,1.2,2.4,51.2%,1.6,4.1,38.3%,0.7,0.8,80.0%,0.1,1.3,1.3,2.3,1.3,0.3,0.1,1.7
Sue Bird,72141,UFA ,31,31,26.4,7.8,2.7,6.8,40.3%,0.9,2.2,43.3%,1.8,4.6,38.9%,0.5,0.5,100.0%,0.2,1.7,1.9,6.0,1.9,1.2,0.1,0.7
Gabby Williams,144000,,36,36,25.6,7.5,3.0,6.8,44.4%,2.5,4.8,52.0%,0.5,1.9,25.7%,1.0,1.3,77.8%,1.2,3.8,5.0,3.1,1.4,1.5,0.4,1.6
Danielle Robinson,155000,UFA,31,30,23.6,7.4,2.7,6.5,41.9%,2.5,5.3,46.6%,0.3,1.3,22.5%,1.6,1.9,85.0%,0.4,2.5,2.9,3.8,1.6,0.7,0.2,1.4
Napheesa Collier,72141,,4,4,22.7,7.3,2.8,6.5,42.3%,2.3,4.8,47.4%,0.5,1.8,28.6%,1.3,1.8,71.4%,0.5,2.5,3.0,1.0,0.3,0.5,0.3,2.3
Lexie Brown,72141,RFA,34,16,25.0,7.1,2.7,6.2,44.1%,1.2,2.3,51.3%,1.6,3.9,39.8%,0.1,0.2,66.7%,0.2,2.1,2.3,2.1,0.8,1.0,0.2,1.3
Queen Egbo,66306,Rookie,34,31,21.2,7.0,2.8,6.3,44.2%,2.8,6.3,44.2%,0.0,0.0,--,1.4,2.2,64.5%,1.8,4.4,6.1,0.9,1.9,0.9,1.2,2.9
Chiney Ogwumike,116390,SuspCE,26,7,18.4,7.0,2.7,5.7,46.6%,2.3,5.0,46.9%,0.3,0.7,44.4%,1.4,2.0,70.6%,2.0,3.5,5.5,1.1,1.4,0.7,0.3,2.7
Asia (AD) Durr,68260,,25,2,14.7,7.0,2.4,6.1,39.5%,1.5,3.8,38.9%,0.9,2.3,40.4%,1.2,1.6,79.5%,0.3,0.9,1.2,1.2,0.9,0.4,0.2,1.3
Rebecca Allen,141000,UFA,25,19,20.9,7.0,2.6,6.8,37.9%,1.5,3.4,44.2%,1.0,3.3,31.3%,0.8,1.0,83.3%,0.3,3.0,3.4,1.2,1.0,0.8,1.0,1.9
Shatori Walker-Kimbrough,72141,UFA,35,3,20.1,6.9,2.3,5.7,40.2%,1.5,3.5,43.5%,0.7,2.1,34.7%,1.6,1.7,90.2%,0.3,1.5,1.8,1.5,1.1,1.1,0.3,1.2
Odyssey Sims,6428,UFA,7,0,20.8,6.9,2.4,7.6,32.1%,1.9,5.4,34.2%,0.6,2.1,26.7%,1.4,2.1,66.7%,0.3,1.6,1.9,2.9,1.7,1.1,0.3,1.6
Odyssey Sims,3750,Hardship,7,0,20.8,6.9,2.4,7.6,32.1%,1.9,5.4,34.2%,0.6,2.1,26.7%,1.4,2.1,66.7%,0.3,1.6,1.9,2.9,1.7,1.1,0.3,1.6
Odyssey Sims,2678,Hardship,7,0,20.8,6.9,2.4,7.6,32.1%,1.9,5.4,34.2%,0.6,2.1,26.7%,1.4,2.1,66.7%,0.3,1.6,1.9,2.9,1.7,1.1,0.3,1.6
Emma Cannon,50713,UFA,24,2,14.0,6.8,2.5,4.8,52.6%,2.1,4.0,53.1%,0.4,0.8,50.0%,1.5,2.0,72.9%,0.9,2.2,3.1,0.5,0.7,0.6,0.1,2.0
Emma Cannon,2143,Hardship,24,2,14.0,6.8,2.5,4.8,52.6%,2.1,4.0,53.1%,0.4,0.8,50.0%,1.5,2.0,72.9%,0.9,2.2,3.1,0.5,0.7,0.6,0.1,2.0
DiJonai Carrington,62774,Rookie,36,2,17.5,6.8,2.3,5.6,41.4%,1.8,3.9,46.1%,0.5,1.7,30.6%,1.6,2.1,75.0%,1.1,2.1,3.1,1.1,1.6,0.8,0.1,1.9
Lindsay Allen,8571,UFA,9,0,14.8,6.7,2.2,4.2,52.6%,1.3,2.7,50.0%,0.9,1.6,57.1%,1.3,1.4,92.3%,0.0,1.6,1.6,3.4,0.8,0.2,0.0,1.2
Lindsay Allen,2678,UFA,9,0,14.8,6.7,2.2,4.2,52.6%,1.3,2.7,50.0%,0.9,1.6,57.1%,1.3,1.4,92.3%,0.0,1.6,1.6,3.4,0.8,0.2,0.0,1.2
Lindsay Allen,1607,UFA,9,0,14.8,6.7,2.2,4.2,52.6%,1.3,2.7,50.0%,0.9,1.6,57.1%,1.3,1.4,92.3%,0.0,1.6,1.6,3.4,0.8,0.2,0.0,1.2
Riquna Williams,145000,UFA,21,0,18.0,6.7,2.1,5.6,38.1%,0.5,1.2,44.0%,1.6,4.4,36.6%,0.8,1.0,76.2%,0.2,1.8,2.0,1.2,0.3,0.4,0.1,1.7
Jasmine Thomas,190000,UFA,5,5,21.8,6.6,1.6,6.0,26.7%,0.6,3.4,17.6%,1.0,2.6,38.5%,2.4,2.6,92.3%,0.4,1.8,2.2,3.0,1.4,0.6,0.2,1.4
Kristy Wallace,63389,Rookie,29,18,20.8,6.6,2.3,5.6,40.7%,1.4,3.2,43.6%,0.9,2.3,36.8%,1.1,1.4,78.6%,0.6,1.7,2.3,2.2,1.5,0.6,0.2,2.0
Tiffany Mitchell,148400,,34,8,16.3,6.5,2.4,5.4,45.1%,2.1,4.4,46.4%,0.4,0.9,38.7%,1.3,1.5,86.5%,0.6,0.6,1.2,1.2,0.9,0.8,0.1,1.4
Sami Whitcomb,150350,RFA,35,6,21.3,6.5,2.1,5.7,36.8%,0.4,0.9,45.5%,1.7,4.8,35.1%,0.6,0.7,87.0%,0.3,2.1,2.3,2.3,1.4,0.7,0.1,1.6
Monique Billings,140000,RFA,23,8,17.4,6.5,2.4,5.1,47.0%,2.4,5.0,47.4%,0.0,0.0,0.0%,1.7,2.2,76.5%,2.0,4.4,6.3,1.1,1.3,0.8,0.3,2.3
Nia Coffey,130000,UFA,16,16,21.0,6.4,2.2,6.3,34.7%,1.6,4.4,37.1%,0.6,1.9,29.0%,1.4,1.9,74.2%,0.4,4.8,5.2,0.8,2.2,0.6,0.1,2.2
Angel McCoughtry,69000,UFA,2,2,9.9,6.0,1.5,4.0,37.5%,1.5,3.5,42.9%,0.0,0.5,0.0%,3.0,3.0,100.0%,0.0,3.0,3.0,1.0,1.5,0.5,1.0,1.5
Katie Benzan,3592,Hardship,3,0,8.9,6.0,1.7,3.0,55.6%,0.0,0.7,0.0%,1.7,2.3,71.4%,1.0,1.3,75.0%,0.3,0.3,0.7,0.3,0.7,0.0,0.3,2.3
Nikolina Milic,31882,Hardship,31,4,11.7,6.0,2.4,4.4,54.8%,2.2,3.6,60.2%,0.2,0.7,27.3%,1.0,1.4,73.8%,1.5,1.5,3.0,0.7,1.4,0.3,0.3,1.8
Nikolina Milic,10477,UFA,31,4,11.7,6.0,2.4,4.4,54.8%,2.2,3.6,60.2%,0.2,0.7,27.3%,1.0,1.4,73.8%,1.5,1.5,3.0,0.7,1.4,0.3,0.3,1.8
Kristi Toliver,196100,,11,10,19.8,5.9,1.7,4.6,37.3%,0.5,1.4,40.0%,1.2,3.3,36.1%,1.3,1.5,87.5%,0.0,0.8,0.8,3.1,2.3,0.4,0.0,1.3
Sparkle Taylor,3592,Hardship,2,0,12.3,5.5,2.5,3.0,83.3%,2.5,2.5,100.0%,0.0,0.5,0.0%,0.5,0.5,100.0%,0.0,1.0,1.0,0.0,0.5,0.0,0.0,1.5
Crystal Dangerfield,25745,UFA,33,27,21.5,5.5,2.0,5.0,39.8%,1.3,2.9,45.3%,0.7,2.2,32.4%,0.8,1.0,73.5%,0.4,1.6,2.0,2.6,0.9,0.5,0.1,1.3
Crystal Dangerfield,16166,Hardship,33,27,21.5,5.5,2.0,5.0,39.8%,1.3,2.9,45.3%,0.7,2.2,32.4%,0.8,1.0,73.5%,0.4,1.6,2.0,2.6,0.9,0.5,0.1,1.3
Crystal Dangerfield,2694,Hardship,33,27,21.5,5.5,2.0,5.0,39.8%,1.3,2.9,45.3%,0.7,2.2,32.4%,0.8,1.0,73.5%,0.4,1.6,2.0,2.6,0.9,0.5,0.1,1.3
Kennedy Burke,36428,,16,4,13.9,5.4,2.1,4.6,44.6%,1.4,2.6,52.4%,0.7,2.0,34.4%,0.6,1.1,58.8%,0.5,1.7,2.2,0.4,0.5,1.0,0.3,1.1
Elizabeth Williams,90000,UFA,30,0,14.9,5.4,2.3,4.7,48.2%,2.3,4.7,48.2%,0.0,0.0,--,0.8,1.4,58.1%,1.5,2.3,3.8,0.5,0.6,0.6,0.6,1.5
Destanni Henderson,63389,Rookie,36,5,16.4,5.3,2.0,4.9,40.1%,1.3,2.9,42.5%,0.7,2.0,36.6%,0.6,0.9,71.9%,0.8,0.8,1.6,2.5,1.7,0.8,0.1,0.9
Natalie Achonwa,160000,UFA,22,0,15.1,5.3,2.1,4.1,51.6%,2.1,4.0,52.8%,0.0,0.1,0.0%,1.0,1.2,81.5%,1.1,3.0,4.1,1.7,1.0,0.4,0.3,1.6
Emily Engstler,72141,Rookie,35,6,18.2,5.2,2.1,5.2,39.6%,1.6,3.9,40.9%,0.5,1.3,35.6%,0.6,1.1,55.3%,2.1,3.1,5.2,1.5,1.4,0.7,1.1,3.1
Damiris Dantas,129150,,15,15,17.4,5.1,1.9,6.1,30.4%,0.8,2.1,38.7%,1.1,4.1,26.2%,0.3,0.4,83.3%,0.7,3.1,3.8,1.9,1.1,0.2,0.1,1.2
Stephanie Talbot,72141,RFA,34,1,16.1,5.0,1.9,4.1,46.4%,1.0,1.9,53.8%,0.9,2.1,39.7%,0.4,0.7,58.3%,0.7,2.5,3.1,1.3,1.1,0.7,0.3,1.3
Tyasha Harris,73211,,35,5,15.8,5.0,2.0,4.7,41.8%,1.5,3.2,46.8%,0.5,1.5,31.5%,0.5,0.7,79.2%,0.2,0.7,0.9,2.8,1.1,0.4,0.1,1.0
Tianna Hawkins,72141,UFA,25,0,12.8,4.9,1.8,4.6,38.6%,1.2,2.4,49.2%,0.6,2.1,26.4%,0.8,0.8,95.2%,0.6,1.8,2.4,0.8,1.2,0.4,0.1,1.7
Kaela Davis,7500,UFA,7,0,7.8,4.9,1.9,3.0,61.9%,1.3,2.1,60.0%,0.6,0.9,66.7%,0.6,0.7,80.0%,0.4,0.9,1.3,0.1,0.9,0.3,0.0,1.3
Kaela Davis,5357,Hardship,7,0,7.8,4.9,1.9,3.0,61.9%,1.3,2.1,60.0%,0.6,0.9,66.7%,0.6,0.7,80.0%,0.4,0.9,1.3,0.1,0.9,0.3,0.0,1.3
Kaela Davis,2143,Hardship,7,0,7.8,4.9,1.9,3.0,61.9%,1.3,2.1,60.0%,0.6,0.9,66.7%,0.6,0.7,80.0%,0.4,0.9,1.3,0.1,0.9,0.3,0.0,1.3
Kaela Davis,1607,UFA,7,0,7.8,4.9,1.9,3.0,61.9%,1.3,2.1,60.0%,0.6,0.9,66.7%,0.6,0.7,80.0%,0.4,0.9,1.3,0.1,0.9,0.3,0.0,1.3
Michaela Onyenwere,68552,Rookie,34,1,13.7,4.7,1.4,3.8,37.7%,1.0,2.4,42.5%,0.4,1.5,30.0%,1.4,1.6,83.6%,0.4,1.7,2.1,0.4,0.7,0.4,0.2,2.0
Destiny Slocum,4041,Hardship,3,0,13.7,4.7,1.3,3.7,36.4%,0.3,0.7,50.0%,1.0,3.0,33.3%,1.0,1.7,60.0%,0.0,1.3,1.3,1.3,1.7,0.0,0.0,1.3
Naz Hillmon,63389,Rookie,34,12,19.8,4.4,1.7,3.6,48.0%,1.7,3.6,48.8%,0.0,0.1,0.0%,0.9,1.1,82.1%,1.5,3.5,5.1,1.2,1.2,0.6,0.3,1.5
Alanna Smith,19285,UFA,9,1,12.8,4.3,1.6,4.7,33.3%,0.9,1.9,47.1%,0.7,2.8,24.0%,0.6,0.8,71.4%,0.9,1.8,2.7,0.6,0.9,0.9,0.7,1.9
