Player,2025 Salary,2025 Signing,G,GS,MIN,PTS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,TOV,STL,BLK,PF
Rhyne Howard,91981,Rookie,33,32,34.9,17.5,5.7,15.1,37.5%,2.6,5.5,46.7%,3.1,9.6,32.2%,3.1,3.6,85.6%,0.9,3.5,4.5,4.6,1.7,1.5,0.8,2.9
Jackie Young,169950,,44,44,30.4,16.5,5.9,12.5,47.4%,4.1,7.4,55.4%,1.8,5.1,35.7%,2.9,3.2,89.4%,1.2,3.3,4.5,5.1,2.2,1.3,0.4,2.4
Caitlin Clark,78066,,13,13,31.0,16.5,5.5,15.1,36.7%,3.3,7.1,46.7%,2.2,8.0,27.9%,3.2,3.8,82.0%,0.1,4.9,5.0,8.8,5.1,1.6,0.5,2.7
Satou Sabally,215000,Core,39,39,26.6,16.3,5.3,13.2,40.4%,3.6,7.8,46.1%,1.7,5.4,32.1%,3.9,4.7,82.7%,1.4,4.5,5.9,2.5,2.0,1.3,0.3,2.9
Tina Charles,170000,UFA,43,42,28.4,16.3,6.0,13.8,43.8%,5.8,12.7,45.3%,0.3,1.1,26.1%,3.9,4.6,85.7%,1.4,4.3,5.8,1.7,1.9,0.8,0.4,2.1
Kahleah Copper,248134,Core,28,28,26.9,15.6,5.5,12.9,42.4%,3.4,7.5,45.7%,2.0,5.4,37.7%,2.7,3.1,85.2%,0.4,2.5,2.9,1.5,2.2,1.1,0.2,2.6
Arike Ogunbowale,249032,,29,29,33.3,15.5,5.1,13.9,36.4%,3.4,8.5,40.2%,1.7,5.4,30.4%,3.7,4.0,93.1%,0.3,2.1,2.5,4.1,2.1,1.3,0.2,2.6
Skylar Diggins,214466,UFA,43,43,31.2,15.5,5.3,12.5,42.3%,3.9,8.6,45.0%,1.4,4.0,36.5%,3.5,4.4,78.8%,0.6,1.9,2.5,6.0,2.1,1.2,0.8,2.3
Alyssa Thomas,215000,Core,39,39,31.3,15.4,6.2,11.6,53.2%,6.2,11.5,53.9%,0.0,0.2,0.0%,3.0,4.3,69.2%,1.6,7.2,8.8,9.2,3.5,1.6,0.4,2.1
Aliyah Boston,83371,Rookie,44,44,30.2,15.0,6.2,11.5,53.8%,6.0,10.8,55.8%,0.1,0.7,20.7%,2.5,3.3,76.2%,2.4,5.8,8.2,3.7,1.8,1.2,0.9,3.1
Sonia Citron,78831,Rookie,44,44,32.2,14.9,5.1,10.8,47.0%,3.2,6.6,48.6%,1.8,4.1,44.5%,3.0,3.4,87.2%,0.7,3.3,4.0,2.4,2.1,1.3,0.4,2.1
Rickea Jackson,78066,Rookie,38,37,30.9,14.7,5.4,12.7,42.4%,3.7,7.8,47.3%,1.7,4.9,34.8%,2.2,2.6,84.7%,1.0,2.2,3.2,1.7,2.1,0.6,0.4,1.9
Angel Reese,74909,Rookie,30,30,31.6,14.7,5.1,11.1,45.8%,5.0,10.4,47.8%,0.1,0.7,18.2%,4.3,5.7,75.6%,4.1,8.5,12.6,3.7,3.9,1.5,0.7,3.4
Marina Mabrey,210000,RFA,35,34,31.5,14.4,5.1,13.9,36.7%,3.2,7.0,46.3%,1.9,7.0,27.0%,2.3,2.6,87.0%,0.5,3.7,4.2,4.0,2.8,0.7,0.3,2.9
Kayla McBride,205000,UFA,39,39,31.3,14.2,4.6,11.0,41.6%,1.9,4.3,44.9%,2.6,6.7,39.5%,2.4,2.7,90.5%,0.3,2.0,2.3,3.5,1.7,1.3,0.1,1.4
Brittney Sykes,195000,UFA,39,38,30.6,14.1,4.5,11.7,38.1%,3.7,9.1,40.3%,0.8,2.6,30.4%,4.4,5.6,78.1%,0.5,2.6,3.2,4.0,2.5,1.2,0.4,2.5
Kayla Thornton,132000,,22,22,30.1,14.0,4.5,12.5,36.2%,2.7,6.1,44.8%,1.8,6.5,28.2%,3.1,3.7,82.9%,1.8,5.2,7.0,1.5,1.6,1.3,0.2,2.4
Jonquel Jones,209000,UFA,31,31,26.8,13.6,4.8,9.9,49.0%,3.1,5.8,53.6%,1.7,4.0,42.4%,2.3,2.9,76.9%,1.5,6.6,8.1,2.7,2.1,0.5,1.1,2.5
Courtney Williams,180000,UFA,44,44,28.6,13.6,5.6,13.2,42.7%,4.3,9.8,44.0%,1.3,3.4,38.9%,1.0,1.2,84.9%,0.5,4.4,4.9,6.2,2.3,1.3,0.3,2.0
Kamilla Cardoso,78066,Rookie,40,39,27.6,13.6,5.6,10.6,52.8%,5.6,10.5,52.9%,0.0,0.1,50.0%,2.4,3.3,72.2%,3.0,5.6,8.5,2.5,2.4,0.4,1.2,2.8
Emma Meesseman,75694,UFA,17,12,25.9,13.4,5.4,9.4,57.2%,4.5,8.1,55.8%,0.8,1.2,66.7%,1.9,2.2,86.5%,1.3,3.8,5.1,3.2,2.1,1.2,0.8,1.5
Kiki Iriafen,78831,Rookie,44,44,26.9,13.3,5.0,10.3,48.8%,5.0,10.1,49.5%,0.0,0.3,18.2%,3.1,4.0,78.4%,2.6,6.0,8.5,1.6,2.2,0.6,0.2,2.9
Ariel Atkins,223000,,34,34,28.5,13.1,4.8,10.7,44.4%,3.5,7.2,48.4%,1.3,3.5,36.1%,2.4,2.7,86.0%,0.7,2.7,3.4,3.6,2.5,1.6,0.7,3.0
Brionna Jones,214466,UFA,44,44,26.6,12.8,5.1,9.7,52.7%,4.8,8.7,55.9%,0.3,1.0,26.1%,2.3,3.0,77.3%,3.1,4.2,7.3,2.2,1.5,1.1,0.8,2.5
Azura Stevens,195000,UFA,44,44,28.4,12.8,4.6,9.7,47.8%,3.0,5.3,55.8%,1.7,4.4,38.1%,1.8,2.3,79.0%,1.7,6.3,8.0,2.1,1.5,1.2,1.1,2.2
Maddy Siegrist,83371,Rookie,26,15,27.0,12.7,5.1,10.3,49.1%,4.1,7.2,56.4%,1.0,3.1,32.1%,1.5,2.2,69.0%,2.0,2.3,4.3,0.8,0.5,0.7,0.6,1.9
Shakira Austin,91981,Rookie,38,30,23.0,12.7,5.0,10.8,46.5%,5.0,10.4,47.7%,0.1,0.4,13.3%,2.6,3.8,66.4%,1.5,4.9,6.4,1.8,2.4,1.1,1.1,2.1
Veronica Burton,103831,UFA,44,44,29.4,11.9,3.4,8.8,38.7%,2.0,4.7,42.3%,1.4,4.0,34.5%,3.8,4.3,87.8%,1.1,3.2,4.4,6.0,2.1,1.1,0.6,2.3
Tiffany Hayes,200000,UFA,26,24,26.9,11.7,3.8,9.1,41.8%,2.2,5.2,42.6%,1.6,3.9,40.6%,2.5,3.1,80.0%,0.7,3.2,3.8,3.0,1.9,0.5,0.2,2.2
Gabby Williams,225000,Core,44,44,31.6,11.6,4.5,10.7,42.2%,3.4,6.9,48.5%,1.1,3.7,30.5%,1.5,1.7,85.3%,0.5,3.8,4.3,4.2,1.9,2.3,0.5,1.5
Natasha Howard,214466,UFA,44,44,24.1,11.4,4.5,8.2,55.2%,4.4,7.5,59.0%,0.1,0.8,18.2%,2.1,3.0,71.2%,2.0,4.6,6.6,1.5,1.9,1.2,0.6,2.7
Janelle Salaun,66079,UDFA,36,33,27.0,11.3,4.1,10.1,40.6%,2.3,5.3,44.2%,1.8,4.8,36.6%,1.4,1.7,80.6%,0.9,4.2,5.1,1.2,1.5,0.6,0.1,1.9
Jordin Canada,190000,UFA,28,26,28.0,11.2,3.9,9.8,39.6%,3.0,6.7,44.4%,0.9,3.1,29.1%,2.6,3.4,76.0%,0.3,3.0,3.3,5.7,2.2,1.7,0.3,1.6
Chelsea Gray,196267,UFA,44,44,31.1,11.2,3.8,8.8,43.8%,2.4,4.9,49.3%,1.4,3.9,36.8%,2.1,2.4,88.5%,0.6,3.4,3.9,5.4,2.8,1.4,0.6,2.0
Jewell Loyd,249032,Core,44,25,28.3,11.2,3.8,9.7,38.9%,1.5,3.8,40.0%,2.3,6.0,38.2%,1.3,1.6,83.1%,1.1,2.1,3.2,1.8,1.2,1.2,0.3,1.9
Amy Okonkwo,7774,UFA,8,1,19.6,11.0,3.8,7.6,49.2%,2.5,3.9,64.5%,1.3,3.8,33.3%,2.3,2.5,90.0%,0.9,2.3,3.1,0.8,0.9,1.4,0.1,1.4
Amy Okonkwo,2915,UFA,8,1,19.6,11.0,3.8,7.6,49.2%,2.5,3.9,64.5%,1.3,3.8,33.3%,2.3,2.5,90.0%,0.9,2.3,3.1,0.8,0.9,1.4,0.1,1.4
Courtney Vandersloot,185000,UFA,7,7,27.2,10.6,4.1,9.4,43.9%,3.4,6.1,55.8%,0.7,3.3,21.7%,1.6,1.9,84.6%,0.3,2.9,3.1,5.3,2.4,1.6,0.3,1.9
Cecilia Zandalasini,100000,SuspCE,19,10,23.7,10.5,3.5,7.9,44.7%,1.6,3.1,50.8%,1.9,4.8,40.7%,1.5,1.7,87.5%,0.3,2.7,2.9,1.7,1.3,0.9,0.2,1.7
Leila Lacan,72455,,25,15,26.6,10.4,4.2,8.7,47.7%,3.6,6.0,58.9%,0.6,2.7,22.4%,1.4,1.7,85.7%,0.7,1.7,2.4,3.7,1.9,2.2,0.2,3.3
Erica Wheeler,78831,UFA,44,24,25.6,10.3,3.8,9.5,40.0%,2.1,4.9,42.6%,1.7,4.6,37.3%,1.0,1.1,86.0%,0.4,2.3,2.7,3.3,1.5,1.3,0.2,2.5
Natasha Cloud,200000,UFA,41,41,29.0,10.1,3.7,8.5,43.3%,2.4,4.8,50.8%,1.3,3.8,33.8%,1.5,1.7,87.0%,0.3,3.3,3.7,5.1,1.9,1.2,0.3,2.9
Odyssey Sims,54622,UFA,24,21,28.0,10.1,3.7,9.0,41.4%,2.8,6.3,45.0%,0.9,2.7,32.8%,1.8,2.3,78.2%,0.4,2.0,2.4,3.8,1.4,0.7,0.0,2.0
Odyssey Sims,13911,UFA,24,21,28.0,10.1,3.7,9.0,41.4%,2.8,6.3,45.0%,0.9,2.7,32.8%,1.8,2.3,78.2%,0.4,2.0,2.4,3.8,1.4,0.7,0.0,2.0
Odyssey Sims,7949,UFA,24,21,28.0,10.1,3.7,9.0,41.4%,2.8,6.3,45.0%,0.9,2.7,32.8%,1.8,2.3,78.2%,0.4,2.0,2.4,3.8,1.4,0.7,0.0,2.0
DeWanna Bonner,72269,UFA,33,4,23.6,9.8,3.2,7.8,40.9%,2.0,4.2,47.4%,1.2,3.6,33.3%,2.3,2.6,87.2%,0.9,3.3,4.2,1.2,0.8,0.8,0.3,1.3
DeWanna Bonner,63721,UFA,33,4,23.6,9.8,3.2,7.8,40.9%,2.0,4.2,47.4%,1.2,3.6,33.3%,2.3,2.6,87.2%,0.9,3.3,4.2,1.2,0.8,0.8,0.3,1.3
Aari McDonald,52333,UFA,20,13,26.3,9.8,3.3,7.7,42.9%,2.1,3.8,55.3%,1.2,3.9,30.8%,2.0,2.6,78.4%,0.5,1.9,2.4,4.7,2.3,1.3,0.2,2.5
Aari McDonald,6459,Hardship,20,13,26.3,9.8,3.3,7.7,42.9%,2.1,3.8,55.3%,1.2,3.9,30.8%,2.0,2.6,78.4%,0.5,1.9,2.4,4.7,2.3,1.3,0.2,2.5
Brittney Griner,214466,UFA,39,25,20.8,9.8,4.0,7.7,51.8%,3.9,7.2,53.5%,0.1,0.5,26.3%,1.7,2.2,76.5%,0.9,4.3,5.2,0.8,1.5,0.1,1.2,1.9
DiJonai Carrington,200000,RFA,31,14,21.9,9.8,3.5,8.9,38.6%,2.7,6.6,41.0%,0.7,2.3,31.9%,2.1,2.6,80.5%,1.5,2.5,4.0,1.5,1.9,1.1,0.4,2.5
Alanna Smith,150000,UFA,42,42,26.5,9.6,3.8,7.9,48.5%,2.5,4.0,63.3%,1.3,3.8,32.9%,0.7,1.5,47.7%,1.5,3.5,5.1,2.9,1.5,1.3,1.9,2.8
Iliana Rupert,32207,Rookie,21,11,23.2,9.3,3.2,7.3,43.8%,1.0,2.3,42.9%,2.2,5.0,44.2%,0.7,0.8,93.8%,1.0,2.9,3.9,1.6,1.0,0.6,0.6,2.3
Sami Whitcomb,125000,UFA,43,20,23.9,9.1,3.0,7.8,38.5%,1.0,2.3,44.3%,2.0,5.5,36.1%,1.1,1.3,85.2%,0.4,2.3,2.6,2.5,1.6,0.8,0.2,2.1
Natisha Hiedeman,135000,UFA,44,0,18.9,9.1,3.4,7.0,49.3%,2.4,4.1,57.7%,1.0,2.8,37.1%,1.2,1.5,76.1%,0.3,1.6,1.9,2.8,1.2,0.7,0.2,1.6
Rachel Banham,95000,UFA,44,33,24.6,9.0,2.9,7.7,38.2%,1.0,2.2,44.3%,2.0,5.5,35.7%,1.2,1.3,88.1%,0.1,1.5,1.7,2.7,1.6,0.6,0.3,1.9
Bria Hartley,78831,UFA,38,32,22.8,8.9,2.8,7.7,36.2%,1.4,3.8,35.6%,1.4,3.9,36.7%,1.9,2.4,77.2%,0.3,1.7,2.0,3.1,1.8,0.8,0.0,2.5
Saniya Rivers,75643,Rookie,42,25,26.1,8.8,3.4,8.3,40.7%,2.4,5.3,44.4%,1.0,3.0,34.1%,1.0,1.4,74.6%,0.7,2.1,2.8,2.7,1.5,1.5,0.9,1.7
Leonie Fiebich,68595,,37,37,28.1,8.7,2.9,6.0,48.9%,1.5,2.7,56.4%,1.4,3.2,42.5%,1.5,1.7,87.1%,0.6,2.9,3.5,1.7,1.2,0.9,0.4,2.4
Naz Hillmon,80823,Rookie,44,17,25.5,8.6,3.2,6.8,46.3%,2.0,3.1,63.7%,1.2,3.8,32.1%,1.1,1.3,83.1%,1.6,4.6,6.2,2.4,1.1,0.5,0.4,1.7
Sophie Cunningham,100000,RFA,30,13,25.2,8.6,2.7,5.8,46.9%,1.0,1.9,54.4%,1.7,3.9,43.2%,1.4,1.6,87.5%,0.5,3.0,3.5,1.2,1.1,1.0,0.1,2.2
Elizabeth Williams,100000,UFA,43,15,21.1,8.5,3.7,7.6,48.0%,3.7,7.6,48.0%,0.0,0.0,--,1.2,1.9,61.7%,1.8,3.3,5.2,1.8,1.3,0.7,0.9,1.4
Olivia Nelson-Ododa,80823,Rookie,37,21,21.6,8.2,3.1,5.8,52.6%,3.0,5.8,52.6%,0.0,0.1,50.0%,2.1,3.0,70.3%,1.6,3.4,5.0,0.9,1.1,0.7,1.2,2.4
Kennedy Burke,78831,UFA,36,9,21.6,8.1,2.8,6.1,46.8%,1.6,3.0,52.3%,1.3,3.1,41.4%,1.1,1.5,75.9%,0.6,1.8,2.4,1.3,0.9,0.8,0.4,1.3
Ezi Magbegor,186000,Reserved,44,44,27.3,8.0,3.2,6.5,49.3%,2.9,5.4,53.4%,0.3,1.1,29.2%,1.3,1.9,68.7%,1.9,4.3,6.2,2.1,1.0,0.7,2.2,2.9
Cheyenne Parker-Tyus,78831,UFA,2,0,7.0,8.0,2.5,4.0,62.5%,2.0,3.0,66.7%,0.5,1.0,50.0%,2.5,3.0,83.3%,0.0,1.0,1.0,0.0,0.5,0.0,0.0,1.0
Jessica Shepard,78831,SuspCE,40,12,20.9,8.0,3.3,5.2,63.8%,3.3,5.2,64.1%,0.0,0.0,0.0%,1.4,2.6,54.4%,2.3,5.0,7.3,2.6,1.5,0.5,0.1,1.1
Dominique Malonga,78831,Rookie,42,0,14.3,7.7,3.5,6.3,55.1%,3.4,5.8,57.6%,0.1,0.4,22.2%,0.7,1.2,56.9%,1.3,3.4,4.6,0.9,1.1,0.4,0.7,2.1
Monique Akoa Makani,66079,UDFA,41,40,21.5,7.7,2.8,6.5,43.0%,1.6,3.5,45.8%,1.2,3.0,39.8%,0.9,1.0,92.7%,0.6,1.6,2.2,2.7,1.3,0.8,0.1,2.5
Aneesah Morrow,75643,Rookie,41,23,18.9,7.7,2.7,7.3,37.5%,2.3,5.5,42.0%,0.4,1.8,24.0%,1.8,2.3,75.8%,2.0,4.8,6.9,0.5,1.1,0.8,0.4,2.0
NaLyssa Smith,91981,Rookie,45,41,21.2,7.6,3.0,5.9,50.4%,2.8,5.3,52.7%,0.2,0.6,29.6%,1.5,2.4,61.1%,1.6,3.5,5.1,0.7,1.1,0.6,0.6,2.9
Myisha Hines-Allen,203000,UFA,40,20,22.1,7.6,2.8,6.3,44.8%,2.4,4.8,50.5%,0.4,1.5,26.7%,1.6,2.1,74.7%,1.5,4.6,6.0,2.9,2.2,0.8,0.5,2.5
Rae Burrell,137500,UFA,28,1,18.4,7.5,2.8,6.4,43.3%,2.0,4.0,49.5%,0.8,2.4,32.8%,1.3,1.7,74.5%,0.6,1.7,2.3,1.2,0.9,0.6,0.2,1.3
Aziaha James,72455,Rookie,38,8,17.7,7.5,2.8,7.5,37.3%,1.9,4.5,43.0%,0.8,2.9,28.6%,1.1,1.4,74.5%,0.9,2.0,2.9,1.6,1.0,0.6,0.2,1.2
Jacy Sheldon,74909,Rookie,30,17,23.6,7.5,2.8,5.9,46.6%,1.6,2.9,54.0%,1.2,3.0,39.6%,0.7,0.8,88.0%,0.7,1.2,1.9,1.9,1.0,0.9,0.2,2.4
Aerial Powers,0,UFA,10,0,16.7,7.4,2.7,6.5,41.5%,2.0,4.6,43.5%,0.7,1.9,36.8%,1.3,1.9,68.4%,1.0,2.9,3.9,2.0,1.1,0.8,0.1,1.9
Aerial Powers,11924,UFA,10,0,16.7,7.4,2.7,6.5,41.5%,2.0,4.6,43.5%,0.7,1.9,36.8%,1.3,1.9,68.4%,1.0,2.9,3.9,2.0,1.1,0.8,0.1,1.9
Aerial Powers,9274,Hardship,10,0,16.7,7.4,2.7,6.5,41.5%,2.0,4.6,43.5%,0.7,1.9,36.8%,1.3,1.9,68.4%,1.0,2.9,3.9,2.0,1.1,0.8,0.1,1.9
Aerial Powers,3975,Hardship,10,0,16.7,7.4,2.7,6.5,41.5%,2.0,4.6,43.5%,0.7,1.9,36.8%,1.3,1.9,68.4%,1.0,2.9,3.9,2.0,1.1,0.8,0.1,1.9
Temi Fagbenle,90000,Reserved,39,38,23.7,7.4,3.2,6.4,50.2%,2.9,4.8,60.4%,0.3,1.6,19.4%,0.7,0.9,72.2%,1.8,3.1,4.9,1.6,1.5,0.9,0.6,3.1
Sug Sutton,93831,Reserved,43,43,26.1,7.4,2.8,6.6,42.2%,1.8,3.8,47.2%,1.0,2.8,35.3%,0.9,1.1,77.1%,0.2,1.6,1.8,3.9,1.9,0.8,0.1,1.3
Monique Billings,110000,UFA,26,8,18.2,7.3,2.8,5.8,47.7%,2.4,4.4,53.9%,0.4,1.4,27.8%,1.4,2.0,67.9%,1.4,3.0,4.5,0.5,0.8,0.6,0.8,1.7
Haley Jones,36094,UFA,28,16,21.2,7.3,3.0,6.7,45.2%,2.6,5.3,49.0%,0.4,1.4,30.8%,0.8,1.3,62.9%,0.6,2.9,3.5,2.3,1.7,0.8,0.8,2.3
Haley Jones,5553,Hardship,28,16,21.2,7.3,3.0,6.7,45.2%,2.6,5.3,49.0%,0.4,1.4,30.8%,0.8,1.3,62.9%,0.6,2.9,3.5,2.3,1.7,0.8,0.8,2.3
Haley Jones,4998,Hardship,28,16,21.2,7.3,3.0,6.7,45.2%,2.6,5.3,49.0%,0.4,1.4,30.8%,0.8,1.3,62.9%,0.6,2.9,3.5,2.3,1.7,0.8,0.8,2.3
Carla Leite,72455,,37,6,17.2,7.2,2.3,6.0,38.7%,2.0,4.0,49.7%,0.4,2.0,17.3%,2.2,2.7,83.8%,0.2,1.1,1.3,2.0,1.5,0.7,0.1,1.5
Lexie Hull,88261,Rookie,44,30,27.0,7.2,2.7,6.8,39.5%,1.4,3.4,42.3%,1.3,3.4,36.7%,0.6,0.8,72.2%,1.4,2.9,4.3,1.8,0.9,1.2,0.2,2.8
Kia Nurse,145000,UFA,44,18,21.9,7.2,2.3,6.6,35.4%,1.0,2.5,38.5%,1.4,4.1,33.5%,1.1,1.4,79.0%,0.4,1.9,2.3,1.3,1.3,0.3,0.0,1.6
Luisa Geiselsoder,66079,UFA,28,24,22.4,6.9,2.7,6.4,42.5%,1.6,3.0,52.9%,1.1,3.4,33.0%,0.3,0.4,81.8%,0.9,3.9,4.8,1.6,1.0,0.8,0.7,2.4
Dana Evans,89000,RFA,44,1,17.7,6.6,2.4,6.2,39.1%,1.6,3.9,40.5%,0.8,2.3,36.6%,0.9,1.2,75.5%,0.2,0.9,1.1,2.2,0.8,0.4,0.1,1.3
Bridget Carleton,125000,UFA,44,44,27.9,6.5,2.3,5.8,40.2%,0.9,1.9,45.9%,1.4,3.8,37.3%,0.4,0.6,72.0%,0.9,2.7,3.6,2.0,0.8,0.8,0.3,1.9
JJ Quinerly,66079,Rookie,34,13,15.9,6.5,2.4,5.5,42.6%,1.7,3.9,44.0%,0.6,1.6,38.9%,1.1,1.3,86.7%,0.5,1.3,1.9,2.3,1.5,0.9,0.2,2.1
Marine Johannes,66079,UFA,44,5,18.3,6.4,2.3,5.7,39.7%,0.8,1.4,55.6%,1.5,4.3,34.4%,0.4,0.4,84.2%,0.3,1.6,1.9,1.6,1.2,0.6,0.3,1.0
Kaila Charles,21198,UFA,35,12,17.6,6.4,2.3,5.4,42.0%,1.5,3.3,46.6%,0.7,2.1,34.7%,1.1,1.4,81.6%,1.3,2.9,4.3,1.0,1.1,0.8,0.2,2.0
Kaila Charles,13911,UFA,35,12,17.6,6.4,2.3,5.4,42.0%,1.5,3.3,46.6%,0.7,2.1,34.7%,1.1,1.4,81.6%,1.3,2.9,4.3,1.0,1.1,0.8,0.2,2.0
Kaila Charles,13911,UFA,35,12,17.6,6.4,2.3,5.4,42.0%,1.5,3.3,46.6%,0.7,2.1,34.7%,1.1,1.4,81.6%,1.3,2.9,4.3,1.0,1.1,0.8,0.2,2.0
Kaila Charles,6956,Hardship,35,12,17.6,6.4,2.3,5.4,42.0%,1.5,3.3,46.6%,0.7,2.1,34.7%,1.1,1.4,81.6%,1.3,2.9,4.3,1.0,1.1,0.8,0.2,2.0
Kate Martin,68595,Rookie,42,4,16.4,6.2,2.0,6.3,32.3%,0.7,2.0,35.4%,1.4,4.4,31.0%,0.8,1.0,78.0%,0.5,2.2,2.7,1.0,0.8,0.4,0.1,1.1
Li Yueru,66079,,31,12,16.8,6.0,2.0,4.9,40.5%,1.4,3.2,42.9%,0.6,1.8,36.4%,1.4,1.6,86.0%,1.7,2.9,4.5,0.9,1.0,0.3,0.3,1.8
Kitija Laksa,80000,UFA,33,5,19.0,5.9,2.0,5.5,36.7%,0.8,1.8,46.7%,1.2,3.6,31.7%,0.8,1.0,81.3%,0.3,0.9,1.2,0.6,0.6,0.4,0.2,1.5
Jade Melbourne,66710,,43,12,23.4,5.9,2.1,5.2,40.0%,1.5,3.0,49.2%,0.6,2.2,27.4%,1.1,1.7,67.1%,0.4,1.5,1.9,2.9,1.7,0.6,0.2,2.3
Michaela Onyenwere,125000,RFA,42,22,16.9,5.8,2.1,5.0,42.2%,1.5,3.4,45.5%,0.6,1.6,35.3%,1.0,1.2,84.3%,0.4,1.2,1.6,1.1,1.3,0.4,0.1,1.8
Te-Hina Paopao,69267,Rookie,43,15,16.7,5.8,2.2,5.1,44.0%,1.0,2.0,52.3%,1.2,3.1,38.6%,0.2,0.3,53.8%,0.2,1.4,1.6,2.4,1.0,0.5,0.2,1.1
Teaira McCowan,201400,RFA,17,0,12.9,5.6,2.1,3.9,53.7%,2.1,3.8,53.8%,0.1,0.1,50.0%,1.3,1.7,75.9%,1.8,2.8,4.6,0.6,0.9,0.3,0.7,1.4
Nyara Sabally,79999,Rookie,17,10,17.9,5.4,2.2,4.5,48.7%,2.1,4.1,52.2%,0.1,0.4,14.3%,1.0,1.5,68.0%,1.6,2.9,4.5,0.8,0.9,0.5,1.0,2.2
Maya Caldwell,66079,Reserved,41,16,18.5,5.4,2.0,4.8,42.6%,1.1,2.1,51.8%,1.0,2.7,35.5%,0.4,0.5,80.0%,0.8,2.3,3.1,1.8,1.0,0.9,0.2,1.6
Aaliyah Edwards,74909,Rookie,36,0,14.8,5.4,1.9,4.3,44.8%,1.9,4.0,47.6%,0.0,0.3,0.0%,1.6,2.4,64.4%,1.3,2.4,3.7,0.6,1.1,0.6,0.4,1.6
Julie Allemand,85000,SuspCE,34,27,28.3,5.4,2.1,4.7,44.0%,1.2,1.7,72.4%,0.8,3.0,27.7%,0.4,0.6,78.9%,0.4,3.4,3.7,5.0,1.6,1.3,0.0,1.6
Laeticia Amihere,53307,UFA,29,0,13.3,5.4,1.8,3.9,45.6%,1.7,3.2,52.7%,0.1,0.7,14.3%,1.7,2.2,77.8%,1.2,3.1,4.3,0.9,1.1,0.6,0.4,1.2
Lexi Held,66079,UFA,32,0,14.7,5.3,1.9,5.1,37.8%,1.1,2.3,46.6%,0.9,2.8,30.8%,0.6,0.7,81.8%,0.3,0.7,1.1,1.1,0.9,0.7,0.2,1.2
Kathryn Westbeld,66079,UFA,43,24,18.4,5.1,1.8,5.0,35.8%,0.8,2.0,41.7%,1.0,3.0,32.1%,0.6,0.7,78.1%,0.7,1.8,2.5,0.9,0.6,0.8,0.6,1.5
Shey Peddy,13911,Hardship,15,5,17.6,5.1,1.8,3.7,49.1%,0.7,1.3,55.0%,1.1,2.3,45.7%,0.5,0.6,77.8%,0.5,1.2,1.7,2.1,0.9,0.4,0.0,1.3
Shey Peddy,9440,Hardship,15,5,17.6,5.1,1.8,3.7,49.1%,0.7,1.3,55.0%,1.1,2.3,45.7%,0.5,0.6,77.8%,0.5,1.2,1.7,2.1,0.9,0.4,0.0,1.3
